epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.459,0.95121,1.06234,1.31838,0.98167,0.8819,0.92201,0.76559,0.6734,0.67484,1.15694,0.000663978,0.000663978,0.000663978
2,206.817,0.67082,0.55178,1.13916,0.98334,0.8995,0.94344,0.77888,0.68815,0.51522,1.15966,0.00130869,0.00130869,0.00130869
3,307.788,0.60461,0.47483,1.08189,0.99486,0.88571,0.94632,0.7938,0.60932,0.46599,1.08463,0.0019314,0.0019314,0.0019314
4,408.24,0.58465,0.42349,1.05824,0.98516,0.88496,0.94122,0.78798,0.59996,0.47865,1.08267,0.001901,0.001901,0.001901
5,509.146,0.52437,0.39419,1.01161,0.98926,0.87761,0.94854,0.78825,0.62896,0.42337,1.11332,0.001868,0.001868,0.001868
6,609.451,0.49876,0.36842,0.99136,0.99363,0.89176,0.95452,0.81566,0.55637,0.38713,1.0514,0.001835,0.001835,0.001835
7,709.714,0.45636,0.3326,0.95403,0.97838,0.88,0.95221,0.81438,0.54564,0.36844,1.04895,0.001802,0.001802,0.001802
8,810.079,0.44548,0.32441,0.94235,0.979,0.88796,0.94443,0.79834,0.59113,0.41773,1.06505,0.001769,0.001769,0.001769
9,910.751,0.40472,0.29679,0.91607,0.99121,0.89143,0.94796,0.82751,0.53377,0.36251,1.03239,0.001736,0.001736,0.001736
10,2312.58,0.39934,0.28236,0.90836,0.98545,0.90296,0.94507,0.831,0.50987,0.33975,1.01152,0.001703,0.001703,0.001703
11,2427.05,0.3627,0.26491,0.88486,0.99211,0.89333,0.93998,0.81767,0.54468,0.34877,1.05126,0.00167,0.00167,0.00167
12,2537.2,0.36402,0.25533,0.88371,0.99572,0.88952,0.94933,0.83099,0.51878,0.33319,1.02703,0.001637,0.001637,0.001637
13,2647.21,0.33202,0.2427,0.86483,0.99528,0.88952,0.94515,0.82586,0.52442,0.3401,1.03199,0.001604,0.001604,0.001604
14,2759.17,0.32426,0.23513,0.85922,0.9936,0.88698,0.94642,0.82665,0.52151,0.33744,1.02522,0.001571,0.001571,0.001571
15,2870.29,0.30991,0.22175,0.84999,0.98279,0.88762,0.94163,0.82245,0.51742,0.34689,1.03156,0.001538,0.001538,0.001538
16,2980.88,0.32035,0.22532,0.85434,0.98179,0.88762,0.94139,0.81892,0.53609,0.34921,1.03955,0.001505,0.001505,0.001505
17,3090.93,0.29036,0.20755,0.83813,0.98722,0.88279,0.934,0.82471,0.5054,0.32765,1.02603,0.001472,0.001472,0.001472
18,3203.97,0.28153,0.20094,0.834,0.97509,0.89482,0.94093,0.8276,0.50778,0.33767,1.03586,0.001439,0.001439,0.001439
19,3315.77,0.27381,0.20057,0.82851,0.98724,0.88397,0.93643,0.82524,0.5311,0.34187,1.04868,0.001406,0.001406,0.001406
20,3429.3,0.26324,0.19064,0.82329,0.97913,0.89353,0.94072,0.82776,0.52194,0.33753,1.05599,0.001373,0.001373,0.001373
